id,sender,subject,body
61,noah@company.com,Time off request,"Requesting a half-day off next Tuesday."
62,olivia@client.com,Project Update,"We have completed the user testing phase."
63,peter@company.com,Login issue,"I am locked out of my email account."
64,quinn@vendor.com,Introduction,"My name is Quinn, from Tech Solutions."
65,rachel@company.com,Network problem,"The office WiFi is very slow today."
66,sam@company.com,Absence notification,"I need to leave early today for an appointment."
67,tina@client.com,Meeting Follow-up,"Thanks for the productive meeting."
68,uma@company.com,Software Request,"Can I get an upgrade for my current software license?"
69,victor@partner.org,Re: Collaboration,"Let's schedule a meeting to discuss this further."
70,wendy@company.com,Help needed,"The projector in conference room B is not working."
71,alex@vendor.com,Invoice IN-2025-5892,"Please find attached the final invoice for the project."
72,ben@company.com,Sick leave,"I have a doctor's appointment and will be out for the morning."
73,chloe@client.com,Client Feedback,"The client loves the new design. No changes needed."
74,dylan@company.com,Report for November,"November's performance metrics are attached."
75,david@external.net,Question about your services,"I'd like to learn more about your pricing."
76,emily@company.com,Team building event ideas,"Does anyone have ideas for our next team outing?"
77,frank@client.com,Question about Task-912,"Is the deadline for this task flexible?"
78,grace@company.com,Leave request,"Requesting leave for a family event."
79,henry@partner.org,FW: Webinar invitation,"Thought this webinar might be of interest to your team."
80,ivy@company.com,IT issue,"My computer crashed and I lost my work."
81,jack@vendor.com,Re: Your proposal,"We need some clarifications on section 3."
82,kate@company.com,Time off request,"I'd like to request next Monday off."
83,liam@client.com,Project Update,"The project is on track to meet the deadline."
84,mia@company.com,Computer problem,"I am getting a strange error message."
85,noah@external.net,New inquiry,"Request for a price quote."
86,olivia@company.com,Login issue,"My account seems to be disabled."
87,peter@client.com,Meeting Follow-up,"Here is the summary of what we discussed."
88,quinn@company.com,Absence notification,"I will not be available tomorrow."
89,rachel@vendor.com,Introduction,"I am taking over the account from my colleague."
90,sam@company.com,Network problem,"Unable to connect to the VPN."
91,tina@partner.org,Re: Partnership,"We are excited to formalize our partnership."
92,uma@company.com,Software Request,"Requesting Tableau license."
93,victor@client.com,Client Feedback,"The client has approved the final version."
94,wendy@company.com,Help needed,"Can someone help me with this Excel formula?"
95,alex@company.com,Sick leave,"Feeling under the weather, will be offline today."
96,ben@client.com,Question about contract renewal,"When does our current contract expire?"
97,chloe@vendor.com,Invoice IN-2025-9981,"This is the invoice for the consultation services."
98,dylan@company.com,Report for Q4,"Preliminary data for the Q4 report is available."
99,david@company.com,Vacation plans,"Confirming my vacation from Dec 22 to Jan 2."
100,emily@external.net,Thank you,"Thank you for the quick response."
